{0: 0, 1: 0, 2: 1, 3: 1, 4: 1, 5: 0, 6: 1, 7: 1}
{0: 1, 1: 1, 2: 2, 3: 1, 4: 2, 5: 0, 6: 2, 7: 1}
{0: 1, 1: 1, 2: 2, 3: 1, 4: 3, 5: 1, 6: 3, 7: 2}
{0: 1, 1: 1, 2: 2, 3: 1, 4: 4, 5: 1, 6: 4, 7: 3}
{0: 1, 1: 1, 2: 3, 3: 1, 4: 5, 5: 2, 6: 5, 7: 3}
{0: 2, 1: 1, 2: 3, 3: 1, 4: 6, 5: 3, 6: 6, 7: 4}
{0: 2, 1: 2, 2: 4, 3: 1, 4: 7, 5: 4, 6: 7, 7: 4}
{0: 2, 1: 3, 2: 5, 3: 2, 4: 8, 5: 4, 6: 7, 7: 5}
{0: 3, 1: 3, 2: 5, 3: 2, 4: 9, 5: 4, 6: 8, 7: 6}
{0: 4, 1: 3, 2: 6, 3: 2, 4: 9, 5: 4, 6: 9, 7: 7}
{0: 5, 1: 3, 2: 7, 3: 3, 4: 9, 5: 5, 6: 10, 7: 7}
{0: 6, 1: 3, 2: 7, 3: 4, 4: 10, 5: 5, 6: 10, 7: 8}
{0: 7, 1: 4, 2: 8, 3: 4, 4: 10, 5: 6, 6: 11, 7: 8}
{0: 8, 1: 4, 2: 9, 3: 5, 4: 10, 5: 6, 6: 12, 7: 8}
{0: 8, 1: 5, 2: 10, 3: 5, 4: 11, 5: 7, 6: 13, 7: 8}
{0: 8, 1: 5, 2: 11, 3: 6, 4: 11, 5: 8, 6: 13, 7: 8}
{0: 9, 1: 6, 2: 12, 3: 7, 4: 11, 5: 8, 6: 13, 7: 9}
{0: 10, 1: 7, 2: 12, 3: 8, 4: 12, 5: 9, 6: 13, 7: 9}
{0: 10, 1: 7, 2: 13, 3: 9, 4: 12, 5: 10, 6: 14, 7: 10}
{0: 11, 1: 7, 2: 13, 3: 9, 4: 13, 5: 11, 6: 15, 7: 11}
{0: 11, 1: 8, 2: 13, 3: 9, 4: 14, 5: 12, 6: 15, 7: 12}
{0: 11, 1: 8, 2: 14, 3: 9, 4: 15, 5: 12, 6: 16, 7: 13}
{0: 11, 1: 8, 2: 15, 3: 10, 4: 15, 5: 13, 6: 17, 7: 14}
{0: 12, 1: 9, 2: 15, 3: 10, 4: 15, 5: 14, 6: 18, 7: 14}
{0: 12, 1: 9, 2: 16, 3: 10, 4: 16, 5: 14, 6: 19, 7: 15}
{0: 12, 1: 10, 2: 17, 3: 11, 4: 16, 5: 14, 6: 20, 7: 16}
{0: 13, 1: 11, 2: 17, 3: 12, 4: 16, 5: 14, 6: 21, 7: 16}
{0: 14, 1: 12, 2: 18, 3: 12, 4: 17, 5: 14, 6: 22, 7: 16}
{0: 15, 1: 13, 2: 19, 3: 12, 4: 17, 5: 15, 6: 23, 7: 16}
{0: 15, 1: 14, 2: 19, 3: 13, 4: 18, 5: 15, 6: 23, 7: 17}

{0: 1, 1: 0, 2: 1, 3: 1, 4: 1, 5: 0, 6: 0, 7: 1}
{0: 1, 1: 1, 2: 1, 3: 2, 4: 1, 5: 1, 6: 1, 7: 1}
{0: 1, 1: 1, 2: 1, 3: 3, 4: 1, 5: 2, 6: 2, 7: 1}
{0: 2, 1: 1, 2: 2, 3: 4, 4: 1, 5: 2, 6: 3, 7: 1}
{0: 2, 1: 2, 2: 3, 3: 5, 4: 1, 5: 2, 6: 4, 7: 1}
{0: 2, 1: 3, 2: 4, 3: 5, 4: 1, 5: 3, 6: 5, 7: 1}
{0: 2, 1: 4, 2: 5, 3: 5, 4: 2, 5: 3, 6: 5, 7: 2}
{0: 2, 1: 4, 2: 5, 3: 5, 4: 2, 5: 4, 6: 6, 7: 2}
{0: 2, 1: 4, 2: 5, 3: 6, 4: 2, 5: 5, 6: 7, 7: 2}
{0: 2, 1: 4, 2: 5, 3: 7, 4: 2, 5: 6, 6: 7, 7: 3}
{0: 3, 1: 4, 2: 5, 3: 7, 4: 3, 5: 7, 6: 7, 7: 4}
{0: 3, 1: 4, 2: 5, 3: 8, 4: 4, 5: 7, 6: 8, 7: 5}
{0: 4, 1: 4, 2: 5, 3: 8, 4: 5, 5: 8, 6: 9, 7: 5}
{0: 4, 1: 5, 2: 5, 3: 8, 4: 5, 5: 9, 6: 10, 7: 5}
{0: 4, 1: 6, 2: 6, 3: 8, 4: 6, 5: 9, 6: 11, 7: 5}
{0: 5, 1: 7, 2: 6, 3: 9, 4: 6, 5: 9, 6: 12, 7: 5}
{0: 5, 1: 8, 2: 7, 3: 9, 4: 7, 5: 9, 6: 12, 7: 6}
{0: 5, 1: 9, 2: 7, 3: 9, 4: 8, 5: 10, 6: 13, 7: 6}
{0: 6, 1: 10, 2: 7, 3: 9, 4: 9, 5: 11, 6: 14, 7: 6}
{0: 7, 1: 11, 2: 7, 3: 9, 4: 9, 5: 12, 6: 15, 7: 6}
{0: 8, 1: 11, 2: 8, 3: 9, 4: 9, 5: 13, 6: 16, 7: 6}
{0: 8, 1: 11, 2: 8, 3: 9, 4: 10, 5: 14, 6: 17, 7: 6}
{0: 8, 1: 12, 2: 8, 3: 10, 4: 11, 5: 15, 6: 18, 7: 6}
{0: 8, 1: 12, 2: 9, 3: 10, 4: 12, 5: 15, 6: 19, 7: 6}
{0: 8, 1: 12, 2: 10, 3: 10, 4: 13, 5: 16, 6: 19, 7: 6}
{0: 9, 1: 12, 2: 10, 3: 11, 4: 13, 5: 17, 6: 19, 7: 6}
{0: 10, 1: 12, 2: 10, 3: 12, 4: 13, 5: 17, 6: 20, 7: 6}
{0: 10, 1: 13, 2: 10, 3: 13, 4: 13, 5: 17, 6: 21, 7: 6}
{0: 10, 1: 13, 2: 10, 3: 13, 4: 13, 5: 18, 6: 21, 7: 7}
{0: 11, 1: 13, 2: 10, 3: 13, 4: 13, 5: 18, 6: 22, 7: 8}

{0: 1, 1: 1, 2: 1, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0}
{0: 1, 1: 2, 2: 1, 3: 1, 4: 0, 5: 2, 6: 2, 7: 0}
{0: 1, 1: 3, 2: 1, 3: 1, 4: 1, 5: 3, 6: 3, 7: 0}
{0: 1, 1: 3, 2: 1, 3: 1, 4: 1, 5: 4, 6: 4, 7: 0}
{0: 1, 1: 3, 2: 1, 3: 2, 4: 1, 5: 4, 6: 5, 7: 1}
{0: 1, 1: 3, 2: 1, 3: 2, 4: 2, 5: 4, 6: 6, 7: 1}
{0: 1, 1: 3, 2: 2, 3: 2, 4: 2, 5: 5, 6: 7, 7: 2}
{0: 2, 1: 3, 2: 2, 3: 2, 4: 2, 5: 6, 6: 8, 7: 2}
{0: 3, 1: 3, 2: 2, 3: 3, 4: 3, 5: 6, 6: 8, 7: 3}
{0: 4, 1: 4, 2: 3, 3: 4, 4: 3, 5: 6, 6: 9, 7: 3}
{0: 5, 1: 5, 2: 3, 3: 5, 4: 4, 5: 6, 6: 9, 7: 3}
{0: 6, 1: 5, 2: 3, 3: 6, 4: 5, 5: 6, 6: 9, 7: 4}
{0: 6, 1: 5, 2: 4, 3: 7, 4: 5, 5: 6, 6: 10, 7: 5}
{0: 7, 1: 5, 2: 4, 3: 8, 4: 5, 5: 7, 6: 11, 7: 5}
{0: 7, 1: 5, 2: 4, 3: 9, 4: 5, 5: 8, 6: 12, 7: 6}
{0: 8, 1: 6, 2: 4, 3: 9, 4: 5, 5: 9, 6: 13, 7: 7}
{0: 8, 1: 7, 2: 5, 3: 9, 4: 5, 5: 10, 6: 14, 7: 7}
{0: 8, 1: 8, 2: 6, 3: 9, 4: 5, 5: 10, 6: 15, 7: 8}
{0: 8, 1: 9, 2: 6, 3: 9, 4: 5, 5: 11, 6: 16, 7: 9}
{0: 9, 1: 9, 2: 7, 3: 9, 4: 6, 5: 11, 6: 17, 7: 10}
{0: 9, 1: 9, 2: 8, 3: 10, 4: 7, 5: 11, 6: 18, 7: 10}
{0: 9, 1: 9, 2: 8, 3: 11, 4: 8, 5: 11, 6: 19, 7: 11}
{0: 10, 1: 10, 2: 8, 3: 11, 4: 8, 5: 12, 6: 19, 7: 12}
{0: 10, 1: 10, 2: 9, 3: 11, 4: 9, 5: 13, 6: 20, 7: 13}
{0: 11, 1: 11, 2: 10, 3: 11, 4: 10, 5: 13, 6: 20, 7: 14}
{0: 11, 1: 12, 2: 10, 3: 12, 4: 11, 5: 13, 6: 21, 7: 14}
{0: 11, 1: 13, 2: 10, 3: 12, 4: 12, 5: 14, 6: 22, 7: 15}
{0: 12, 1: 13, 2: 11, 3: 12, 4: 12, 5: 14, 6: 23, 7: 16}
{0: 12, 1: 13, 2: 12, 3: 13, 4: 13, 5: 14, 6: 24, 7: 16}
{0: 12, 1: 14, 2: 12, 3: 14, 4: 13, 5: 14, 6: 25, 7: 17}

{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 0, 6: 0, 7: 0}
{0: 2, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 0}
{0: 2, 1: 1, 2: 2, 3: 1, 4: 2, 5: 1, 6: 2, 7: 1}
{0: 2, 1: 1, 2: 3, 3: 1, 4: 3, 5: 1, 6: 3, 7: 1}
{0: 2, 1: 1, 2: 3, 3: 2, 4: 3, 5: 1, 6: 4, 7: 1}
{0: 3, 1: 1, 2: 3, 3: 2, 4: 3, 5: 1, 6: 5, 7: 2}
{0: 3, 1: 1, 2: 4, 3: 2, 4: 3, 5: 2, 6: 6, 7: 2}
{0: 4, 1: 1, 2: 4, 3: 3, 4: 3, 5: 2, 6: 7, 7: 2}
{0: 4, 1: 1, 2: 4, 3: 4, 4: 3, 5: 3, 6: 8, 7: 2}
{0: 4, 1: 1, 2: 5, 3: 5, 4: 3, 5: 3, 6: 8, 7: 3}
{0: 4, 1: 1, 2: 6, 3: 5, 4: 3, 5: 3, 6: 9, 7: 4}
{0: 5, 1: 1, 2: 6, 3: 5, 4: 3, 5: 4, 6: 10, 7: 4}
{0: 5, 1: 2, 2: 7, 3: 5, 4: 3, 5: 5, 6: 11, 7: 4}
{0: 5, 1: 3, 2: 7, 3: 6, 4: 3, 5: 6, 6: 12, 7: 4}
{0: 6, 1: 4, 2: 7, 3: 7, 4: 3, 5: 6, 6: 12, 7: 5}
{0: 6, 1: 4, 2: 7, 3: 8, 4: 3, 5: 6, 6: 13, 7: 6}
{0: 6, 1: 4, 2: 7, 3: 8, 4: 4, 5: 7, 6: 13, 7: 6}
