{0: 1, 1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1}
{0: 2, 1: 0, 2: 2, 3: 0, 4: 0, 5: 1, 6: 1, 7: 1}
{0: 3, 1: 0, 2: 2, 3: 1, 4: 1, 5: 2, 6: 1, 7: 2}
{0: 4, 1: 0, 2: 3, 3: 1, 4: 1, 5: 3, 6: 2, 7: 3}
{0: 5, 1: 1, 2: 3, 3: 2, 4: 1, 5: 4, 6: 3, 7: 3}
{0: 6, 1: 1, 2: 4, 3: 3, 4: 1, 5: 5, 6: 3, 7: 4}
{0: 7, 1: 2, 2: 5, 3: 3, 4: 1, 5: 6, 6: 3, 7: 4}
{0: 8, 1: 2, 2: 5, 3: 3, 4: 2, 5: 7, 6: 4, 7: 5}
{0: 9, 1: 3, 2: 5, 3: 3, 4: 3, 5: 8, 6: 5, 7: 5}
{0: 9, 1: 3, 2: 5, 3: 4, 4: 4, 5: 9, 6: 6, 7: 6}
{0: 9, 1: 4, 2: 5, 3: 4, 4: 5, 5: 10, 6: 6, 7: 7}
{0: 10, 1: 4, 2: 6, 3: 4, 4: 6, 5: 11, 6: 6, 7: 8}
{0: 11, 1: 4, 2: 7, 3: 4, 4: 6, 5: 12, 6: 7, 7: 8}
{0: 12, 1: 5, 2: 7, 3: 4, 4: 7, 5: 13, 6: 8, 7: 8}
{0: 12, 1: 6, 2: 7, 3: 4, 4: 7, 5: 14, 6: 9, 7: 8}
{0: 12, 1: 7, 2: 8, 3: 5, 4: 7, 5: 15, 6: 9, 7: 9}
{0: 13, 1: 8, 2: 9, 3: 6, 4: 7, 5: 16, 6: 9, 7: 9}
{0: 13, 1: 9, 2: 10, 3: 6, 4: 7, 5: 17, 6: 9, 7: 10}
{0: 14, 1: 10, 2: 11, 3: 6, 4: 7, 5: 17, 6: 10, 7: 11}
{0: 14, 1: 11, 2: 12, 3: 7, 4: 8, 5: 18, 6: 10, 7: 11}
{0: 15, 1: 11, 2: 12, 3: 7, 4: 9, 5: 18, 6: 10, 7: 12}
{0: 15, 1: 11, 2: 13, 3: 8, 4: 10, 5: 19, 6: 11, 7: 12}
{0: 16, 1: 11, 2: 13, 3: 9, 4: 11, 5: 19, 6: 11, 7: 13}
{0: 16, 1: 11, 2: 14, 3: 9, 4: 12, 5: 20, 6: 12, 7: 14}
{0: 16, 1: 11, 2: 14, 3: 10, 4: 13, 5: 21, 6: 13, 7: 14}
{0: 17, 1: 11, 2: 15, 3: 11, 4: 13, 5: 21, 6: 13, 7: 15}
{0: 17, 1: 11, 2: 16, 3: 11, 4: 13, 5: 21, 6: 14, 7: 16}
{0: 18, 1: 12, 2: 16, 3: 12, 4: 13, 5: 22, 6: 14, 7: 17}
{0: 18, 1: 12, 2: 16, 3: 13, 4: 13, 5: 23, 6: 14, 7: 18}
{0: 19, 1: 13, 2: 16, 3: 14, 4: 13, 5: 24, 6: 14, 7: 19}

{0: 1, 1: 0, 2: 1, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0}
{0: 2, 1: 1, 2: 1, 3: 0, 4: 1, 5: 2, 6: 0, 7: 1}
{0: 2, 1: 1, 2: 2, 3: 0, 4: 1, 5: 2, 6: 1, 7: 2}
{0: 2, 1: 2, 2: 3, 3: 1, 4: 1, 5: 3, 6: 1, 7: 2}
{0: 2, 1: 3, 2: 4, 3: 2, 4: 1, 5: 3, 6: 1, 7: 3}
{0: 3, 1: 3, 2: 4, 3: 3, 4: 2, 5: 4, 6: 1, 7: 4}
{0: 3, 1: 3, 2: 5, 3: 4, 4: 3, 5: 5, 6: 1, 7: 5}
{0: 3, 1: 4, 2: 5, 3: 4, 4: 4, 5: 6, 6: 2, 7: 6}
{0: 3, 1: 5, 2: 6, 3: 4, 4: 4, 5: 7, 6: 3, 7: 7}
{0: 4, 1: 5, 2: 6, 3: 5, 4: 4, 5: 8, 6: 3, 7: 8}
{0: 4, 1: 6, 2: 6, 3: 5, 4: 4, 5: 9, 6: 4, 7: 9}
{0: 5, 1: 7, 2: 6, 3: 6, 4: 5, 5: 10, 6: 4, 7: 9}
{0: 5, 1: 8, 2: 7, 3: 6, 4: 6, 5: 11, 6: 5, 7: 9}
{0: 6, 1: 9, 2: 8, 3: 6, 4: 7, 5: 12, 6: 5, 7: 9}
{0: 7, 1: 9, 2: 9, 3: 7, 4: 8, 5: 12, 6: 5, 7: 9}
{0: 8, 1: 10, 2: 9, 3: 7, 4: 8, 5: 13, 6: 6, 7: 9}
{0: 8, 1: 11, 2: 9, 3: 8, 4: 8, 5: 14, 6: 6, 7: 10}
{0: 9, 1: 11, 2: 9, 3: 8, 4: 9, 5: 15, 6: 7, 7: 11}
{0: 10, 1: 12, 2: 9, 3: 9, 4: 10, 5: 16, 6: 7, 7: 11}
{0: 10, 1: 13, 2: 10, 3: 9, 4: 11, 5: 17, 6: 8, 7: 11}
{0: 10, 1: 13, 2: 10, 3: 9, 4: 12, 5: 18, 6: 9, 7: 12}
{0: 11, 1: 13, 2: 11, 3: 9, 4: 13, 5: 19, 6: 10, 7: 12}
{0: 12, 1: 13, 2: 11, 3: 10, 4: 13, 5: 20, 6: 11, 7: 13}
{0: 13, 1: 13, 2: 12, 3: 10, 4: 13, 5: 21, 6: 11, 7: 14}
{0: 14, 1: 14, 2: 12, 3: 10, 4: 14, 5: 22, 6: 11, 7: 14}
{0: 14, 1: 15, 2: 12, 3: 11, 4: 14, 5: 23, 6: 12, 7: 14}
{0: 15, 1: 16, 2: 12, 3: 11, 4: 15, 5: 24, 6: 12, 7: 14}
{0: 15, 1: 17, 2: 13, 3: 12, 4: 15, 5: 25, 6: 12, 7: 14}
{0: 15, 1: 17, 2: 13, 3: 13, 4: 15, 5: 26, 6: 13, 7: 15}
{0: 15, 1: 17, 2: 14, 3: 14, 4: 15, 5: 27, 6: 13, 7: 16}

{0: 1, 1: 0, 2: 1, 3: 0, 4: 0, 5: 1, 6: 0, 7: 1}
{0: 1, 1: 1, 2: 2, 3: 0, 4: 0, 5: 2, 6: 0, 7: 2}
{0: 2, 1: 1, 2: 3, 3: 0, 4: 0, 5: 3, 6: 0, 7: 3}
{0: 3, 1: 2, 2: 3, 3: 1, 4: 0, 5: 4, 6: 0, 7: 4}
{0: 4, 1: 3, 2: 3, 3: 1, 4: 1, 5: 5, 6: 0, 7: 5}
{0: 5, 1: 3, 2: 3, 3: 1, 4: 2, 5: 6, 6: 1, 7: 5}
{0: 6, 1: 4, 2: 3, 3: 1, 4: 3, 5: 7, 6: 1, 7: 6}
{0: 7, 1: 5, 2: 4, 3: 1, 4: 3, 5: 8, 6: 1, 7: 7}
{0: 7, 1: 5, 2: 5, 3: 2, 4: 4, 5: 9, 6: 1, 7: 7}
{0: 8, 1: 5, 2: 5, 3: 3, 4: 5, 5: 10, 6: 2, 7: 7}
{0: 8, 1: 6, 2: 6, 3: 3, 4: 6, 5: 11, 6: 2, 7: 8}
{0: 8, 1: 6, 2: 7, 3: 4, 4: 7, 5: 12, 6: 2, 7: 8}
{0: 8, 1: 7, 2: 7, 3: 5, 4: 8, 5: 12, 6: 3, 7: 9}
{0: 9, 1: 7, 2: 7, 3: 5, 4: 9, 5: 13, 6: 4, 7: 10}
{0: 10, 1: 8, 2: 8, 3: 5, 4: 9, 5: 14, 6: 5, 7: 10}
{0: 10, 1: 8, 2: 9, 3: 5, 4: 10, 5: 15, 6: 6, 7: 10}
{0: 10, 1: 9, 2: 9, 3: 5, 4: 11, 5: 16, 6: 6, 7: 10}
{0: 11, 1: 9, 2: 10, 3: 6, 4: 11, 5: 17, 6: 6, 7: 10}
{0: 11, 1: 10, 2: 10, 3: 7, 4: 11, 5: 18, 6: 7, 7: 10}
{0: 12, 1: 10, 2: 11, 3: 7, 4: 11, 5: 19, 6: 7, 7: 11}
{0: 13, 1: 11, 2: 11, 3: 8, 4: 11, 5: 20, 6: 7, 7: 11}
{0: 13, 1: 11, 2: 11, 3: 8, 4: 12, 5: 21, 6: 8, 7: 11}
{0: 14, 1: 11, 2: 12, 3: 8, 4: 13, 5: 22, 6: 9, 7: 11}
