{0: 1, 1: 1, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1}
{0: 1, 1: 2, 2: 2, 3: 0, 4: 1, 5: 1, 6: 1, 7: 1}
{0: 1, 1: 3, 2: 3, 3: 0, 4: 1, 5: 1, 6: 1, 7: 1}
{0: 2, 1: 3, 2: 3, 3: 0, 4: 2, 5: 1, 6: 1, 7: 2}
{0: 3, 1: 4, 2: 4, 3: 0, 4: 3, 5: 1, 6: 1, 7: 2}
{0: 3, 1: 5, 2: 5, 3: 1, 4: 3, 5: 1, 6: 1, 7: 2}
{0: 3, 1: 6, 2: 6, 3: 1, 4: 3, 5: 1, 6: 1, 7: 2}
{0: 3, 1: 6, 2: 7, 3: 1, 4: 3, 5: 1, 6: 1, 7: 3}
{0: 4, 1: 7, 2: 8, 3: 1, 4: 3, 5: 2, 6: 1, 7: 3}
{0: 4, 1: 7, 2: 9, 3: 1, 4: 3, 5: 3, 6: 1, 7: 3}
{0: 4, 1: 7, 2: 10, 3: 1, 4: 3, 5: 4, 6: 1, 7: 3}
{0: 4, 1: 7, 2: 11, 3: 1, 4: 3, 5: 4, 6: 2, 7: 3}
{0: 5, 1: 7, 2: 12, 3: 1, 4: 4, 5: 4, 6: 2, 7: 3}
{0: 5, 1: 7, 2: 13, 3: 1, 4: 5, 5: 4, 6: 2, 7: 3}
{0: 5, 1: 8, 2: 14, 3: 1, 4: 5, 5: 5, 6: 2, 7: 3}
{0: 5, 1: 8, 2: 15, 3: 1, 4: 6, 5: 5, 6: 2, 7: 3}
{0: 5, 1: 8, 2: 16, 3: 1, 4: 7, 5: 5, 6: 2, 7: 3}
{0: 5, 1: 8, 2: 17, 3: 1, 4: 7, 5: 5, 6: 3, 7: 3}
{0: 5, 1: 9, 2: 18, 3: 1, 4: 7, 5: 6, 6: 3, 7: 3}
{0: 5, 1: 10, 2: 19, 3: 1, 4: 7, 5: 6, 6: 3, 7: 4}
{0: 5, 1: 10, 2: 20, 3: 1, 4: 8, 5: 6, 6: 3, 7: 4}
{0: 6, 1: 10, 2: 21, 3: 1, 4: 8, 5: 6, 6: 3, 7: 5}
{0: 7, 1: 10, 2: 22, 3: 1, 4: 8, 5: 6, 6: 4, 7: 5}
{0: 7, 1: 11, 2: 22, 3: 1, 4: 8, 5: 7, 6: 4, 7: 5}
{0: 7, 1: 12, 2: 23, 3: 1, 4: 8, 5: 7, 6: 5, 7: 5}
{0: 8, 1: 12, 2: 24, 3: 1, 4: 8, 5: 7, 6: 6, 7: 5}
{0: 8, 1: 12, 2: 25, 3: 1, 4: 8, 5: 7, 6: 7, 7: 5}
{0: 8, 1: 13, 2: 25, 3: 2, 4: 8, 5: 7, 6: 7, 7: 5}
{0: 8, 1: 14, 2: 26, 3: 2, 4: 8, 5: 7, 6: 7, 7: 5}
{0: 9, 1: 14, 2: 26, 3: 2, 4: 8, 5: 8, 6: 7, 7: 5}

{0: 0, 1: 1, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0}
{0: 0, 1: 1, 2: 2, 3: 1, 4: 1, 5: 1, 6: 1, 7: 0}
{0: 0, 1: 2, 2: 2, 3: 2, 4: 2, 5: 2, 6: 1, 7: 0}
{0: 0, 1: 3, 2: 3, 3: 2, 4: 2, 5: 2, 6: 1, 7: 0}
{0: 0, 1: 4, 2: 4, 3: 2, 4: 2, 5: 2, 6: 1, 7: 0}
{0: 1, 1: 4, 2: 4, 3: 2, 4: 2, 5: 2, 6: 1, 7: 1}
{0: 1, 1: 5, 2: 5, 3: 2, 4: 2, 5: 2, 6: 1, 7: 1}
{0: 1, 1: 6, 2: 5, 3: 2, 4: 2, 5: 2, 6: 2, 7: 1}
{0: 1, 1: 7, 2: 6, 3: 2, 4: 2, 5: 2, 6: 2, 7: 1}
{0: 1, 1: 7, 2: 6, 3: 3, 4: 2, 5: 2, 6: 2, 7: 1}
{0: 1, 1: 8, 2: 7, 3: 3, 4: 2, 5: 2, 6: 2, 7: 1}
{0: 1, 1: 8, 2: 7, 3: 3, 4: 2, 5: 2, 6: 2, 7: 2}
{0: 1, 1: 8, 2: 8, 3: 3, 4: 2, 5: 2, 6: 2, 7: 2}
{0: 2, 1: 8, 2: 8, 3: 4, 4: 2, 5: 2, 6: 2, 7: 2}
{0: 2, 1: 8, 2: 8, 3: 4, 4: 3, 5: 2, 6: 2, 7: 2}
{0: 3, 1: 8, 2: 9, 3: 4, 4: 3, 5: 2, 6: 2, 7: 2}
{0: 4, 1: 8, 2: 9, 3: 4, 4: 3, 5: 2, 6: 3, 7: 2}
{0: 4, 1: 9, 2: 9, 3: 4, 4: 3, 5: 2, 6: 3, 7: 3}
{0: 4, 1: 9, 2: 10, 3: 4, 4: 3, 5: 2, 6: 3, 7: 3}
{0: 5, 1: 9, 2: 11, 3: 4, 4: 3, 5: 2, 6: 3, 7: 3}
{0: 5, 1: 9, 2: 11, 3: 4, 4: 3, 5: 3, 6: 3, 7: 3}
{0: 6, 1: 9, 2: 11, 3: 4, 4: 3, 5: 4, 6: 3, 7: 3}
{0: 7, 1: 9, 2: 12, 3: 4, 4: 3, 5: 4, 6: 3, 7: 3}
{0: 8, 1: 9, 2: 12, 3: 4, 4: 4, 5: 4, 6: 3, 7: 3}
{0: 8, 1: 9, 2: 13, 3: 4, 4: 4, 5: 4, 6: 3, 7: 3}
{0: 9, 1: 9, 2: 13, 3: 4, 4: 4, 5: 5, 6: 3, 7: 3}
{0: 10, 1: 9, 2: 14, 3: 4, 4: 4, 5: 5, 6: 3, 7: 3}
{0: 10, 1: 10, 2: 14, 3: 4, 4: 5, 5: 5, 6: 3, 7: 3}
{0: 11, 1: 10, 2: 14, 3: 5, 4: 5, 5: 5, 6: 3, 7: 3}
{0: 11, 1: 11, 2: 14, 3: 5, 4: 5, 5: 5, 6: 4, 7: 3}

{0: 1, 1: 0, 2: 0, 3: 1, 4: 1, 5: 0, 6: 1, 7: 0}
{0: 1, 1: 1, 2: 0, 3: 1, 4: 2, 5: 0, 6: 2, 7: 0}
{0: 2, 1: 2, 2: 1, 3: 1, 4: 2, 5: 0, 6: 2, 7: 0}
{0: 2, 1: 3, 2: 1, 3: 1, 4: 2, 5: 1, 6: 2, 7: 0}
{0: 2, 1: 3, 2: 1, 3: 2, 4: 2, 5: 1, 6: 2, 7: 0}
{0: 2, 1: 4, 2: 1, 3: 3, 4: 2, 5: 1, 6: 2, 7: 0}
{0: 3, 1: 4, 2: 2, 3: 3, 4: 2, 5: 1, 6: 2, 7: 0}
{0: 4, 1: 4, 2: 2, 3: 3, 4: 3, 5: 1, 6: 2, 7: 0}
{0: 4, 1: 5, 2: 2, 3: 3, 4: 3, 5: 1, 6: 3, 7: 0}
{0: 4, 1: 6, 2: 3, 3: 3, 4: 3, 5: 1, 6: 3, 7: 0}
{0: 4, 1: 7, 2: 3, 3: 3, 4: 4, 5: 1, 6: 3, 7: 0}
{0: 4, 1: 7, 2: 3, 3: 3, 4: 4, 5: 1, 6: 4, 7: 0}
{0: 5, 1: 7, 2: 4, 3: 3, 4: 4, 5: 1, 6: 4, 7: 0}
{0: 6, 1: 7, 2: 4, 3: 3, 4: 4, 5: 1, 6: 4, 7: 1}
{0: 6, 1: 8, 2: 4, 3: 3, 4: 4, 5: 1, 6: 4, 7: 1}
{0: 6, 1: 9, 2: 4, 3: 3, 4: 4, 5: 1, 6: 4, 7: 1}
{0: 6, 1: 10, 2: 4, 3: 4, 4: 4, 5: 1, 6: 4, 7: 1}
{0: 6, 1: 11, 2: 5, 3: 4, 4: 4, 5: 1, 6: 4, 7: 1}
{0: 6, 1: 11, 2: 5, 3: 4, 4: 4, 5: 1, 6: 5, 7: 1}
{0: 7, 1: 11, 2: 6, 3: 4, 4: 4, 5: 1, 6: 5, 7: 1}
{0: 8, 1: 11, 2: 7, 3: 4, 4: 4, 5: 1, 6: 5, 7: 1}
{0: 8, 1: 11, 2: 8, 3: 4, 4: 4, 5: 1, 6: 5, 7: 1}
{0: 8, 1: 12, 2: 9, 3: 4, 4: 4, 5: 1, 6: 5, 7: 1}
{0: 8, 1: 13, 2: 9, 3: 4, 4: 4, 5: 1, 6: 5, 7: 1}
{0: 8, 1: 14, 2: 9, 3: 4, 4: 4, 5: 1, 6: 5, 7: 2}
{0: 8, 1: 15, 2: 10, 3: 4, 4: 4, 5: 1, 6: 5, 7: 2}
{0: 8, 1: 16, 2: 11, 3: 4, 4: 4, 5: 1, 6: 5, 7: 2}
{0: 8, 1: 17, 2: 12, 3: 4, 4: 4, 5: 1, 6: 5, 7: 2}
{0: 8, 1: 18, 2: 13, 3: 4, 4: 4, 5: 1, 6: 5, 7: 2}
{0: 9, 1: 18, 2: 13, 3: 4, 4: 4, 5: 2, 6: 5, 7: 2}

{0: 1, 1: 0, 2: 0, 3: 1, 4: 0, 5: 1, 6: 1, 7: 1}
{0: 2, 1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 1, 7: 1}
