{0: 1, 1: 1, 2: 1, 3: 1, 4: 0, 5: 0, 6: 1, 7: 0}
{0: 2, 1: 1, 2: 2, 3: 2, 4: 1, 5: 0, 6: 2, 7: 0}
{0: 3, 1: 1, 2: 2, 3: 3, 4: 2, 5: 1, 6: 2, 7: 1}
{0: 4, 1: 2, 2: 3, 3: 3, 4: 2, 5: 2, 6: 2, 7: 2}
{0: 4, 1: 3, 2: 4, 3: 4, 4: 3, 5: 2, 6: 2, 7: 3}
{0: 5, 1: 4, 2: 5, 3: 5, 4: 3, 5: 3, 6: 2, 7: 3}
{0: 5, 1: 5, 2: 6, 3: 6, 4: 4, 5: 3, 6: 2, 7: 4}
{0: 5, 1: 6, 2: 7, 3: 7, 4: 5, 5: 3, 6: 3, 7: 4}
{0: 6, 1: 6, 2: 8, 3: 8, 4: 6, 5: 3, 6: 3, 7: 5}
{0: 7, 1: 7, 2: 8, 3: 9, 4: 6, 5: 4, 6: 3, 7: 6}
{0: 8, 1: 8, 2: 9, 3: 10, 4: 7, 5: 4, 6: 3, 7: 6}
{0: 9, 1: 9, 2: 10, 3: 11, 4: 7, 5: 5, 6: 3, 7: 6}
{0: 10, 1: 10, 2: 11, 3: 11, 4: 7, 5: 5, 6: 4, 7: 7}
{0: 11, 1: 11, 2: 12, 3: 11, 4: 8, 5: 5, 6: 4, 7: 8}
{0: 12, 1: 12, 2: 13, 3: 11, 4: 8, 5: 6, 6: 4, 7: 9}
{0: 13, 1: 13, 2: 14, 3: 12, 4: 8, 5: 7, 6: 4, 7: 9}
{0: 14, 1: 13, 2: 15, 3: 13, 4: 8, 5: 8, 6: 5, 7: 9}
{0: 14, 1: 14, 2: 16, 3: 14, 4: 8, 5: 9, 6: 5, 7: 10}
{0: 15, 1: 15, 2: 17, 3: 15, 4: 8, 5: 9, 6: 5, 7: 11}
{0: 15, 1: 16, 2: 17, 3: 16, 4: 9, 5: 10, 6: 5, 7: 12}
{0: 16, 1: 17, 2: 17, 3: 16, 4: 10, 5: 11, 6: 6, 7: 12}
{0: 17, 1: 18, 2: 17, 3: 17, 4: 11, 5: 12, 6: 6, 7: 12}
{0: 18, 1: 19, 2: 18, 3: 18, 4: 11, 5: 12, 6: 6, 7: 13}
{0: 18, 1: 20, 2: 18, 3: 19, 4: 12, 5: 12, 6: 7, 7: 14}
{0: 19, 1: 21, 2: 18, 3: 20, 4: 12, 5: 13, 6: 8, 7: 14}
{0: 19, 1: 22, 2: 18, 3: 21, 4: 13, 5: 13, 6: 9, 7: 15}
{0: 20, 1: 22, 2: 19, 3: 22, 4: 13, 5: 13, 6: 10, 7: 16}
{0: 21, 1: 23, 2: 20, 3: 22, 4: 14, 5: 14, 6: 10, 7: 16}
{0: 22, 1: 23, 2: 21, 3: 22, 4: 15, 5: 15, 6: 10, 7: 17}
{0: 23, 1: 24, 2: 22, 3: 22, 4: 15, 5: 16, 6: 10, 7: 18}

{0: 1, 1: 0, 2: 1, 3: 1, 4: 1, 5: 0, 6: 0, 7: 1}
{0: 2, 1: 1, 2: 2, 3: 2, 4: 1, 5: 1, 6: 0, 7: 1}
{0: 2, 1: 1, 2: 3, 3: 3, 4: 2, 5: 2, 6: 0, 7: 2}
{0: 2, 1: 2, 2: 4, 3: 4, 4: 3, 5: 2, 6: 1, 7: 2}
{0: 3, 1: 3, 2: 5, 3: 5, 4: 4, 5: 2, 6: 1, 7: 2}
{0: 4, 1: 4, 2: 6, 3: 6, 4: 5, 5: 2, 6: 1, 7: 2}
{0: 5, 1: 4, 2: 7, 3: 7, 4: 5, 5: 3, 6: 2, 7: 2}
{0: 6, 1: 4, 2: 7, 3: 8, 4: 6, 5: 3, 6: 3, 7: 3}
{0: 7, 1: 4, 2: 8, 3: 9, 4: 7, 5: 4, 6: 3, 7: 3}
{0: 8, 1: 5, 2: 9, 3: 10, 4: 8, 5: 4, 6: 3, 7: 3}
{0: 9, 1: 6, 2: 10, 3: 11, 4: 8, 5: 4, 6: 4, 7: 3}
{0: 10, 1: 7, 2: 11, 3: 11, 4: 8, 5: 4, 6: 5, 7: 4}
{0: 11, 1: 8, 2: 12, 3: 12, 4: 8, 5: 4, 6: 5, 7: 5}
{0: 12, 1: 8, 2: 13, 3: 12, 4: 9, 5: 5, 6: 6, 7: 5}
{0: 13, 1: 9, 2: 13, 3: 13, 4: 10, 5: 6, 6: 6, 7: 5}
{0: 14, 1: 10, 2: 13, 3: 14, 4: 11, 5: 6, 6: 7, 7: 5}
{0: 14, 1: 10, 2: 14, 3: 15, 4: 12, 5: 7, 6: 8, 7: 5}
{0: 14, 1: 11, 2: 14, 3: 16, 4: 13, 5: 7, 6: 9, 7: 6}
{0: 14, 1: 12, 2: 15, 3: 16, 4: 14, 5: 8, 6: 9, 7: 7}
{0: 15, 1: 13, 2: 15, 3: 17, 4: 15, 5: 8, 6: 9, 7: 8}
{0: 16, 1: 14, 2: 16, 3: 18, 4: 16, 5: 8, 6: 9, 7: 8}
{0: 16, 1: 15, 2: 17, 3: 19, 4: 17, 5: 8, 6: 10, 7: 8}
{0: 17, 1: 16, 2: 18, 3: 19, 4: 18, 5: 8, 6: 11, 7: 8}
{0: 18, 1: 17, 2: 18, 3: 20, 4: 18, 5: 9, 6: 12, 7: 8}
{0: 19, 1: 18, 2: 19, 3: 20, 4: 18, 5: 10, 6: 12, 7: 9}
{0: 20, 1: 18, 2: 20, 3: 21, 4: 18, 5: 11, 6: 12, 7: 10}
{0: 20, 1: 19, 2: 21, 3: 21, 4: 19, 5: 12, 6: 13, 7: 10}
{0: 21, 1: 19, 2: 22, 3: 21, 4: 20, 5: 13, 6: 13, 7: 11}
{0: 21, 1: 20, 2: 22, 3: 22, 4: 21, 5: 13, 6: 14, 7: 12}
{0: 21, 1: 21, 2: 23, 3: 23, 4: 22, 5: 13, 6: 14, 7: 13}

{0: 1, 1: 1, 2: 0, 3: 1, 4: 1, 5: 1, 6: 0, 7: 0}
{0: 2, 1: 2, 2: 0, 3: 2, 4: 2, 5: 2, 6: 0, 7: 0}
{0: 2, 1: 3, 2: 0, 3: 3, 4: 3, 5: 3, 6: 0, 7: 0}
{0: 3, 1: 4, 2: 0, 3: 4, 4: 3, 5: 3, 6: 0, 7: 1}
{0: 3, 1: 5, 2: 0, 3: 5, 4: 4, 5: 3, 6: 1, 7: 2}
{0: 4, 1: 6, 2: 1, 3: 6, 4: 5, 5: 3, 6: 1, 7: 2}
{0: 5, 1: 7, 2: 2, 3: 6, 4: 6, 5: 3, 6: 2, 7: 2}
{0: 6, 1: 8, 2: 3, 3: 7, 4: 7, 5: 3, 6: 2, 7: 2}
{0: 7, 1: 9, 2: 4, 3: 8, 4: 8, 5: 3, 6: 2, 7: 2}
{0: 8, 1: 10, 2: 5, 3: 8, 4: 9, 5: 3, 6: 2, 7: 3}
{0: 9, 1: 11, 2: 6, 3: 9, 4: 10, 5: 3, 6: 2, 7: 3}
{0: 10, 1: 12, 2: 7, 3: 10, 4: 11, 5: 3, 6: 2, 7: 3}
{0: 11, 1: 12, 2: 8, 3: 11, 4: 12, 5: 3, 6: 3, 7: 3}
{0: 11, 1: 13, 2: 9, 3: 12, 4: 13, 5: 3, 6: 3, 7: 4}
{0: 12, 1: 14, 2: 9, 3: 13, 4: 13, 5: 4, 6: 4, 7: 4}
{0: 13, 1: 15, 2: 10, 3: 13, 4: 14, 5: 5, 6: 4, 7: 4}
{0: 14, 1: 15, 2: 11, 3: 14, 4: 14, 5: 6, 6: 4, 7: 5}
{0: 15, 1: 16, 2: 11, 3: 15, 4: 14, 5: 7, 6: 5, 7: 5}
{0: 15, 1: 17, 2: 12, 3: 15, 4: 15, 5: 7, 6: 6, 7: 6}
{0: 15, 1: 18, 2: 13, 3: 16, 4: 16, 5: 7, 6: 7, 7: 6}
{0: 15, 1: 19, 2: 14, 3: 16, 4: 17, 5: 8, 6: 7, 7: 7}
{0: 16, 1: 20, 2: 15, 3: 17, 4: 17, 5: 8, 6: 7, 7: 8}
{0: 16, 1: 21, 2: 15, 3: 18, 4: 17, 5: 9, 6: 8, 7: 9}
{0: 17, 1: 21, 2: 15, 3: 19, 4: 18, 5: 10, 6: 9, 7: 9}
{0: 18, 1: 22, 2: 15, 3: 19, 4: 19, 5: 11, 6: 10, 7: 9}
{0: 18, 1: 22, 2: 16, 3: 20, 4: 20, 5: 12, 6: 11, 7: 9}
{0: 18, 1: 22, 2: 17, 3: 21, 4: 21, 5: 12, 6: 12, 7: 10}
{0: 19, 1: 23, 2: 17, 3: 21, 4: 22, 5: 13, 6: 13, 7: 10}
{0: 19, 1: 24, 2: 18, 3: 22, 4: 23, 5: 14, 6: 13, 7: 10}
{0: 20, 1: 24, 2: 19, 3: 23, 4: 24, 5: 14, 6: 14, 7: 10}

{0: 1, 1: 1, 2: 1, 3: 0, 4: 0, 5: 0, 6: 1, 7: 1}
{0: 2, 1: 2, 2: 2, 3: 0, 4: 1, 5: 0, 6: 1, 7: 2}
{0: 3, 1: 2, 2: 3, 3: 1, 4: 2, 5: 0, 6: 2, 7: 2}
{0: 4, 1: 3, 2: 4, 3: 1, 4: 2, 5: 1, 6: 2, 7: 3}
{0: 5, 1: 3, 2: 5, 3: 2, 4: 3, 5: 1, 6: 2, 7: 4}
{0: 6, 1: 4, 2: 5, 3: 3, 4: 4, 5: 1, 6: 3, 7: 4}
{0: 7, 1: 4, 2: 5, 3: 4, 4: 5, 5: 2, 6: 4, 7: 4}
{0: 7, 1: 5, 2: 6, 3: 5, 4: 5, 5: 3, 6: 4, 7: 5}
{0: 8, 1: 5, 2: 7, 3: 6, 4: 6, 5: 3, 6: 5, 7: 5}
{0: 9, 1: 5, 2: 8, 3: 6, 4: 7, 5: 4, 6: 5, 7: 6}
{0: 10, 1: 6, 2: 9, 3: 7, 4: 7, 5: 4, 6: 6, 7: 6}
{0: 10, 1: 7, 2: 10, 3: 8, 4: 8, 5: 4, 6: 6, 7: 7}
{0: 10, 1: 8, 2: 11, 3: 9, 4: 9, 5: 4, 6: 7, 7: 7}
{0: 11, 1: 9, 2: 11, 3: 9, 4: 10, 5: 5, 6: 8, 7: 7}
