{0: 0, 1: 1, 2: 1, 3: 0, 4: 0, 5: 1, 6: 1, 7: 1}
{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 2}
{0: 2, 1: 2, 2: 2, 3: 1, 4: 2, 5: 1, 6: 1, 7: 3}
{0: 2, 1: 2, 2: 3, 3: 1, 4: 3, 5: 1, 6: 1, 7: 4}
{0: 2, 1: 2, 2: 4, 3: 1, 4: 3, 5: 1, 6: 1, 7: 5}
{0: 3, 1: 2, 2: 5, 3: 2, 4: 4, 5: 1, 6: 1, 7: 6}
{0: 4, 1: 2, 2: 6, 3: 2, 4: 4, 5: 1, 6: 2, 7: 7}
{0: 4, 1: 3, 2: 6, 3: 3, 4: 5, 5: 1, 6: 3, 7: 8}
{0: 4, 1: 4, 2: 6, 3: 4, 4: 6, 5: 1, 6: 3, 7: 9}
{0: 5, 1: 4, 2: 7, 3: 5, 4: 6, 5: 1, 6: 3, 7: 10}
{0: 6, 1: 4, 2: 8, 3: 5, 4: 7, 5: 1, 6: 4, 7: 11}
{0: 7, 1: 5, 2: 8, 3: 5, 4: 8, 5: 2, 6: 4, 7: 12}
{0: 8, 1: 5, 2: 8, 3: 6, 4: 9, 5: 3, 6: 4, 7: 13}
{0: 9, 1: 6, 2: 8, 3: 6, 4: 9, 5: 4, 6: 5, 7: 14}
{0: 10, 1: 7, 2: 8, 3: 6, 4: 10, 5: 5, 6: 6, 7: 14}
{0: 11, 1: 7, 2: 8, 3: 7, 4: 11, 5: 5, 6: 7, 7: 14}
{0: 12, 1: 7, 2: 9, 3: 8, 4: 12, 5: 5, 6: 7, 7: 14}
{0: 13, 1: 7, 2: 10, 3: 9, 4: 12, 5: 6, 6: 7, 7: 15}
{0: 14, 1: 8, 2: 11, 3: 9, 4: 12, 5: 6, 6: 7, 7: 16}
{0: 15, 1: 9, 2: 11, 3: 9, 4: 13, 5: 7, 6: 7, 7: 17}
{0: 16, 1: 10, 2: 11, 3: 9, 4: 14, 5: 7, 6: 8, 7: 18}
{0: 16, 1: 10, 2: 11, 3: 10, 4: 15, 5: 7, 6: 9, 7: 19}
{0: 16, 1: 10, 2: 11, 3: 11, 4: 15, 5: 8, 6: 10, 7: 20}
{0: 17, 1: 10, 2: 12, 3: 12, 4: 15, 5: 8, 6: 11, 7: 21}
{0: 17, 1: 11, 2: 13, 3: 12, 4: 16, 5: 9, 6: 11, 7: 22}
{0: 17, 1: 11, 2: 14, 3: 13, 4: 17, 5: 9, 6: 12, 7: 23}
{0: 18, 1: 11, 2: 15, 3: 14, 4: 17, 5: 9, 6: 12, 7: 24}
