{0: 0, 1: 0, 2: 0, 3: 1, 4: 1, 5: 0, 6: 1, 7: 1}
{0: 1, 1: 1, 2: 1, 3: 2, 4: 2, 5: 0, 6: 1, 7: 1}
{0: 1, 1: 2, 2: 2, 3: 3, 4: 2, 5: 0, 6: 2, 7: 2}
{0: 1, 1: 2, 2: 3, 3: 4, 4: 3, 5: 1, 6: 3, 7: 2}
{0: 2, 1: 2, 2: 4, 3: 5, 4: 3, 5: 1, 6: 4, 7: 3}
{0: 2, 1: 2, 2: 5, 3: 6, 4: 3, 5: 2, 6: 5, 7: 4}
{0: 2, 1: 3, 2: 6, 3: 7, 4: 3, 5: 2, 6: 6, 7: 4}
{0: 2, 1: 3, 2: 7, 3: 8, 4: 4, 5: 3, 6: 6, 7: 5}
{0: 2, 1: 4, 2: 7, 3: 9, 4: 5, 5: 4, 6: 7, 7: 5}
{0: 2, 1: 5, 2: 7, 3: 9, 4: 6, 5: 5, 6: 8, 7: 6}
{0: 2, 1: 6, 2: 7, 3: 10, 4: 7, 5: 5, 6: 9, 7: 7}
{0: 2, 1: 6, 2: 8, 3: 11, 4: 7, 5: 6, 6: 10, 7: 8}
{0: 2, 1: 7, 2: 9, 3: 11, 4: 7, 5: 7, 6: 11, 7: 8}
{0: 3, 1: 8, 2: 10, 3: 11, 4: 8, 5: 7, 6: 11, 7: 9}
{0: 4, 1: 9, 2: 11, 3: 12, 4: 8, 5: 8, 6: 11, 7: 9}
{0: 4, 1: 10, 2: 12, 3: 13, 4: 8, 5: 9, 6: 11, 7: 10}
{0: 4, 1: 11, 2: 13, 3: 14, 4: 9, 5: 10, 6: 11, 7: 10}
{0: 4, 1: 11, 2: 14, 3: 15, 4: 10, 5: 11, 6: 12, 7: 10}
{0: 4, 1: 12, 2: 15, 3: 16, 4: 10, 5: 11, 6: 13, 7: 11}
{0: 4, 1: 13, 2: 15, 3: 17, 4: 11, 5: 11, 6: 14, 7: 12}
{0: 4, 1: 13, 2: 15, 3: 18, 4: 12, 5: 12, 6: 14, 7: 13}
{0: 4, 1: 14, 2: 15, 3: 19, 4: 13, 5: 13, 6: 14, 7: 13}
{0: 4, 1: 15, 2: 15, 3: 20, 4: 14, 5: 13, 6: 15, 7: 14}
{0: 5, 1: 16, 2: 16, 3: 20, 4: 15, 5: 13, 6: 15, 7: 15}
{0: 5, 1: 17, 2: 17, 3: 20, 4: 16, 5: 13, 6: 15, 7: 16}
{0: 5, 1: 18, 2: 18, 3: 21, 4: 17, 5: 13, 6: 16, 7: 16}
{0: 6, 1: 18, 2: 18, 3: 22, 4: 17, 5: 14, 6: 17, 7: 17}
{0: 6, 1: 18, 2: 19, 3: 23, 4: 18, 5: 15, 6: 18, 7: 17}
{0: 6, 1: 19, 2: 20, 3: 23, 4: 19, 5: 15, 6: 18, 7: 18}
{0: 6, 1: 19, 2: 20, 3: 24, 4: 20, 5: 15, 6: 19, 7: 19}
