{0: 0, 1: 1, 2: 1, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0}
{0: 1, 1: 1, 2: 2, 3: 0, 4: 1, 5: 2, 6: 1, 7: 1}
{0: 2, 1: 1, 2: 3, 3: 0, 4: 2, 5: 2, 6: 2, 7: 1}
{0: 3, 1: 2, 2: 4, 3: 0, 4: 2, 5: 3, 6: 3, 7: 1}
{0: 3, 1: 2, 2: 4, 3: 1, 4: 3, 5: 4, 6: 4, 7: 2}
{0: 3, 1: 2, 2: 5, 3: 2, 4: 3, 5: 5, 6: 5, 7: 3}
{0: 4, 1: 3, 2: 6, 3: 2, 4: 3, 5: 5, 6: 6, 7: 4}
{0: 5, 1: 3, 2: 7, 3: 2, 4: 3, 5: 6, 6: 6, 7: 5}
{0: 5, 1: 4, 2: 8, 3: 3, 4: 4, 5: 6, 6: 7, 7: 5}
{0: 6, 1: 5, 2: 8, 3: 3, 4: 5, 5: 6, 6: 8, 7: 6}
{0: 6, 1: 6, 2: 9, 3: 3, 4: 5, 5: 7, 6: 9, 7: 7}
{0: 7, 1: 6, 2: 10, 3: 3, 4: 6, 5: 7, 6: 10, 7: 8}
{0: 7, 1: 7, 2: 10, 3: 4, 4: 6, 5: 8, 6: 11, 7: 9}
{0: 7, 1: 8, 2: 11, 3: 4, 4: 7, 5: 8, 6: 12, 7: 10}
{0: 8, 1: 9, 2: 11, 3: 5, 4: 8, 5: 9, 6: 12, 7: 10}
{0: 9, 1: 10, 2: 12, 3: 5, 4: 9, 5: 9, 6: 12, 7: 11}
{0: 9, 1: 10, 2: 13, 3: 5, 4: 10, 5: 10, 6: 13, 7: 11}
{0: 9, 1: 11, 2: 14, 3: 6, 4: 10, 5: 10, 6: 14, 7: 12}
{0: 9, 1: 11, 2: 15, 3: 7, 4: 10, 5: 11, 6: 15, 7: 13}
{0: 10, 1: 12, 2: 15, 3: 7, 4: 11, 5: 12, 6: 16, 7: 13}
{0: 10, 1: 13, 2: 15, 3: 7, 4: 12, 5: 13, 6: 17, 7: 14}
{0: 11, 1: 13, 2: 16, 3: 7, 4: 13, 5: 13, 6: 18, 7: 15}
{0: 11, 1: 13, 2: 17, 3: 8, 4: 14, 5: 14, 6: 19, 7: 15}
{0: 12, 1: 14, 2: 17, 3: 9, 4: 14, 5: 15, 6: 20, 7: 15}
{0: 13, 1: 15, 2: 18, 3: 9, 4: 14, 5: 15, 6: 21, 7: 16}
{0: 14, 1: 15, 2: 19, 3: 9, 4: 15, 5: 16, 6: 21, 7: 17}
