{0: 0, 1: 1, 2: 0, 3: 1, 4: 1, 5: 1, 6: 0, 7: 1}
{0: 0, 1: 2, 2: 1, 3: 2, 4: 1, 5: 2, 6: 0, 7: 2}
{0: 1, 1: 3, 2: 2, 3: 2, 4: 2, 5: 2, 6: 0, 7: 3}
{0: 2, 1: 3, 2: 3, 3: 3, 4: 3, 5: 2, 6: 1, 7: 3}
{0: 2, 1: 4, 2: 4, 3: 4, 4: 3, 5: 3, 6: 1, 7: 4}
{0: 3, 1: 5, 2: 4, 3: 5, 4: 4, 5: 4, 6: 1, 7: 4}
{0: 3, 1: 6, 2: 5, 3: 6, 4: 5, 5: 4, 6: 2, 7: 4}
{0: 4, 1: 7, 2: 6, 3: 7, 4: 5, 5: 4, 6: 2, 7: 5}
{0: 4, 1: 8, 2: 7, 3: 8, 4: 6, 5: 5, 6: 2, 7: 5}
{0: 5, 1: 8, 2: 8, 3: 8, 4: 7, 5: 5, 6: 3, 7: 6}
{0: 6, 1: 9, 2: 8, 3: 8, 4: 7, 5: 6, 6: 4, 7: 7}
{0: 6, 1: 10, 2: 8, 3: 9, 4: 8, 5: 7, 6: 4, 7: 8}
{0: 6, 1: 10, 2: 9, 3: 10, 4: 9, 5: 8, 6: 5, 7: 8}
{0: 7, 1: 11, 2: 10, 3: 10, 4: 9, 5: 9, 6: 5, 7: 9}
{0: 8, 1: 12, 2: 10, 3: 11, 4: 9, 5: 9, 6: 6, 7: 10}
{0: 8, 1: 13, 2: 11, 3: 12, 4: 9, 5: 9, 6: 7, 7: 11}
{0: 8, 1: 13, 2: 12, 3: 13, 4: 10, 5: 9, 6: 8, 7: 12}
{0: 9, 1: 14, 2: 12, 3: 14, 4: 10, 5: 9, 6: 9, 7: 13}
{0: 10, 1: 14, 2: 13, 3: 15, 4: 11, 5: 9, 6: 9, 7: 14}
{0: 10, 1: 15, 2: 13, 3: 16, 4: 11, 5: 10, 6: 10, 7: 15}
{0: 10, 1: 15, 2: 14, 3: 17, 4: 11, 5: 11, 6: 11, 7: 15}
{0: 11, 1: 16, 2: 15, 3: 17, 4: 12, 5: 11, 6: 12, 7: 15}
{0: 12, 1: 17, 2: 15, 3: 17, 4: 13, 5: 12, 6: 13, 7: 15}
{0: 13, 1: 18, 2: 15, 3: 17, 4: 14, 5: 13, 6: 14, 7: 15}
{0: 13, 1: 19, 2: 16, 3: 18, 4: 15, 5: 13, 6: 15, 7: 15}
{0: 14, 1: 20, 2: 16, 3: 19, 4: 15, 5: 14, 6: 16, 7: 15}
{0: 15, 1: 20, 2: 16, 3: 20, 4: 15, 5: 15, 6: 16, 7: 16}
{0: 16, 1: 21, 2: 16, 3: 21, 4: 15, 5: 15, 6: 17, 7: 17}
{0: 17, 1: 21, 2: 16, 3: 21, 4: 16, 5: 16, 6: 18, 7: 18}
{0: 18, 1: 21, 2: 16, 3: 21, 4: 17, 5: 17, 6: 19, 7: 19}

{0: 1, 1: 0, 2: 1, 3: 0, 4: 1, 5: 1, 6: 0, 7: 1}
{0: 2, 1: 1, 2: 1, 3: 1, 4: 1, 5: 2, 6: 1, 7: 1}
{0: 2, 1: 2, 2: 2, 3: 2, 4: 2, 5: 2, 6: 1, 7: 1}
{0: 3, 1: 2, 2: 3, 3: 3, 4: 3, 5: 2, 6: 2, 7: 1}
{0: 3, 1: 3, 2: 4, 3: 3, 4: 4, 5: 3, 6: 3, 7: 1}
{0: 3, 1: 4, 2: 4, 3: 3, 4: 5, 5: 4, 6: 4, 7: 2}
{0: 4, 1: 5, 2: 4, 3: 3, 4: 6, 5: 4, 6: 5, 7: 3}
{0: 5, 1: 5, 2: 4, 3: 4, 4: 7, 5: 4, 6: 6, 7: 3}
{0: 5, 1: 6, 2: 4, 3: 5, 4: 8, 5: 4, 6: 7, 7: 4}
{0: 5, 1: 7, 2: 4, 3: 6, 4: 9, 5: 5, 6: 8, 7: 4}
{0: 6, 1: 8, 2: 5, 3: 6, 4: 9, 5: 6, 6: 8, 7: 5}
{0: 7, 1: 8, 2: 6, 3: 6, 4: 10, 5: 6, 6: 9, 7: 6}
{0: 7, 1: 9, 2: 7, 3: 6, 4: 11, 5: 6, 6: 10, 7: 7}
{0: 8, 1: 9, 2: 8, 3: 6, 4: 12, 5: 6, 6: 11, 7: 8}
{0: 8, 1: 10, 2: 9, 3: 6, 4: 13, 5: 7, 6: 11, 7: 9}
{0: 9, 1: 11, 2: 9, 3: 7, 4: 13, 5: 8, 6: 12, 7: 9}
{0: 10, 1: 12, 2: 9, 3: 8, 4: 13, 5: 9, 6: 12, 7: 9}
{0: 10, 1: 13, 2: 9, 3: 9, 4: 14, 5: 9, 6: 12, 7: 10}
{0: 10, 1: 13, 2: 10, 3: 10, 4: 15, 5: 9, 6: 13, 7: 11}
{0: 10, 1: 14, 2: 10, 3: 11, 4: 15, 5: 9, 6: 14, 7: 12}
{0: 10, 1: 15, 2: 10, 3: 12, 4: 15, 5: 10, 6: 14, 7: 13}
{0: 10, 1: 15, 2: 11, 3: 13, 4: 16, 5: 11, 6: 15, 7: 13}
{0: 11, 1: 15, 2: 12, 3: 13, 4: 17, 5: 12, 6: 16, 7: 13}
{0: 12, 1: 15, 2: 12, 3: 14, 4: 18, 5: 13, 6: 16, 7: 14}
{0: 13, 1: 15, 2: 13, 3: 15, 4: 18, 5: 14, 6: 16, 7: 15}
{0: 13, 1: 16, 2: 14, 3: 16, 4: 19, 5: 14, 6: 16, 7: 16}
{0: 14, 1: 17, 2: 15, 3: 17, 4: 19, 5: 14, 6: 17, 7: 16}
{0: 14, 1: 18, 2: 16, 3: 18, 4: 19, 5: 15, 6: 17, 7: 17}
{0: 15, 1: 18, 2: 17, 3: 19, 4: 19, 5: 16, 6: 17, 7: 18}
{0: 15, 1: 19, 2: 18, 3: 20, 4: 20, 5: 16, 6: 17, 7: 19}

{0: 0, 1: 1, 2: 1, 3: 0, 4: 1, 5: 0, 6: 1, 7: 1}
{0: 1, 1: 2, 2: 1, 3: 1, 4: 1, 5: 1, 6: 2, 7: 1}
{0: 2, 1: 3, 2: 2, 3: 2, 4: 1, 5: 1, 6: 2, 7: 2}
{0: 3, 1: 3, 2: 3, 3: 3, 4: 1, 5: 2, 6: 3, 7: 2}
{0: 3, 1: 3, 2: 3, 3: 4, 4: 2, 5: 2, 6: 4, 7: 3}
{0: 4, 1: 3, 2: 4, 3: 4, 4: 3, 5: 3, 6: 4, 7: 4}
{0: 4, 1: 4, 2: 5, 3: 5, 4: 3, 5: 3, 6: 5, 7: 5}
{0: 5, 1: 5, 2: 6, 3: 5, 4: 3, 5: 3, 6: 6, 7: 5}
{0: 6, 1: 5, 2: 7, 3: 6, 4: 4, 5: 3, 6: 7, 7: 5}
{0: 6, 1: 6, 2: 7, 3: 7, 4: 5, 5: 4, 6: 7, 7: 5}
{0: 7, 1: 7, 2: 7, 3: 8, 4: 6, 5: 4, 6: 8, 7: 5}
{0: 8, 1: 8, 2: 7, 3: 8, 4: 7, 5: 4, 6: 9, 7: 6}
{0: 8, 1: 9, 2: 8, 3: 8, 4: 8, 5: 4, 6: 10, 7: 7}
{0: 8, 1: 9, 2: 9, 3: 9, 4: 9, 5: 5, 6: 10, 7: 8}
{0: 9, 1: 10, 2: 10, 3: 9, 4: 9, 5: 6, 6: 10, 7: 8}
{0: 9, 1: 10, 2: 11, 3: 10, 4: 10, 5: 7, 6: 10, 7: 8}
{0: 9, 1: 11, 2: 12, 3: 10, 4: 11, 5: 8, 6: 10, 7: 9}
{0: 10, 1: 11, 2: 13, 3: 10, 4: 12, 5: 9, 6: 11, 7: 9}
{0: 11, 1: 11, 2: 13, 3: 10, 4: 13, 5: 10, 6: 12, 7: 10}
{0: 12, 1: 12, 2: 13, 3: 10, 4: 14, 5: 11, 6: 13, 7: 10}
{0: 13, 1: 13, 2: 14, 3: 10, 4: 15, 5: 12, 6: 13, 7: 10}
{0: 14, 1: 14, 2: 14, 3: 11, 4: 15, 5: 12, 6: 14, 7: 11}
{0: 14, 1: 15, 2: 15, 3: 12, 4: 16, 5: 13, 6: 14, 7: 11}
{0: 14, 1: 16, 2: 16, 3: 12, 4: 17, 5: 14, 6: 15, 7: 11}
{0: 15, 1: 17, 2: 17, 3: 12, 4: 18, 5: 15, 6: 15, 7: 11}
{0: 15, 1: 18, 2: 18, 3: 12, 4: 19, 5: 16, 6: 15, 7: 12}
{0: 15, 1: 19, 2: 19, 3: 13, 4: 19, 5: 17, 6: 15, 7: 13}
{0: 15, 1: 20, 2: 20, 3: 14, 4: 20, 5: 17, 6: 16, 7: 13}
{0: 16, 1: 21, 2: 20, 3: 14, 4: 20, 5: 18, 6: 17, 7: 14}
{0: 17, 1: 21, 2: 21, 3: 15, 4: 21, 5: 19, 6: 17, 7: 14}

{0: 0, 1: 1, 2: 1, 3: 1, 4: 1, 5: 0, 6: 0, 7: 0}
{0: 1, 1: 2, 2: 1, 3: 2, 4: 1, 5: 0, 6: 1, 7: 1}
{0: 2, 1: 3, 2: 1, 3: 3, 4: 2, 5: 0, 6: 2, 7: 1}
{0: 3, 1: 3, 2: 1, 3: 4, 4: 3, 5: 0, 6: 3, 7: 2}
{0: 3, 1: 4, 2: 2, 3: 5, 4: 3, 5: 0, 6: 4, 7: 3}
{0: 3, 1: 4, 2: 3, 3: 6, 4: 4, 5: 1, 6: 4, 7: 4}
{0: 4, 1: 5, 2: 4, 3: 6, 4: 4, 5: 1, 6: 5, 7: 5}
{0: 4, 1: 6, 2: 5, 3: 6, 4: 5, 5: 2, 6: 5, 7: 6}
{0: 5, 1: 6, 2: 5, 3: 7, 4: 5, 5: 3, 6: 6, 7: 7}
{0: 6, 1: 7, 2: 5, 3: 7, 4: 6, 5: 3, 6: 7, 7: 8}
{0: 6, 1: 8, 2: 6, 3: 7, 4: 6, 5: 4, 6: 8, 7: 9}
{0: 7, 1: 9, 2: 6, 3: 8, 4: 6, 5: 4, 6: 9, 7: 9}
{0: 8, 1: 10, 2: 7, 3: 9, 4: 6, 5: 4, 6: 9, 7: 10}
{0: 9, 1: 11, 2: 7, 3: 10, 4: 6, 5: 5, 6: 10, 7: 10}
{0: 9, 1: 11, 2: 8, 3: 10, 4: 7, 5: 6, 6: 11, 7: 11}
{0: 10, 1: 11, 2: 9, 3: 10, 4: 8, 5: 7, 6: 12, 7: 11}
{0: 11, 1: 11, 2: 10, 3: 11, 4: 8, 5: 7, 6: 13, 7: 12}
{0: 12, 1: 12, 2: 11, 3: 12, 4: 8, 5: 8, 6: 13, 7: 12}
{0: 13, 1: 12, 2: 11, 3: 13, 4: 9, 5: 8, 6: 14, 7: 13}
{0: 14, 1: 13, 2: 11, 3: 14, 4: 9, 5: 9, 6: 15, 7: 13}
{0: 14, 1: 14, 2: 11, 3: 15, 4: 10, 5: 9, 6: 16, 7: 14}
{0: 14, 1: 15, 2: 12, 3: 15, 4: 11, 5: 10, 6: 17, 7: 14}
{0: 14, 1: 16, 2: 13, 3: 16, 4: 12, 5: 10, 6: 17, 7: 15}
{0: 14, 1: 17, 2: 14, 3: 16, 4: 12, 5: 11, 6: 18, 7: 16}
{0: 15, 1: 17, 2: 14, 3: 17, 4: 13, 5: 11, 6: 19, 7: 17}
{0: 16, 1: 18, 2: 14, 3: 17, 4: 14, 5: 12, 6: 19, 7: 18}
{0: 16, 1: 19, 2: 14, 3: 18, 4: 14, 5: 13, 6: 20, 7: 19}
{0: 16, 1: 20, 2: 15, 3: 18, 4: 15, 5: 14, 6: 20, 7: 20}
{0: 17, 1: 20, 2: 16, 3: 19, 4: 15, 5: 15, 6: 21, 7: 20}
{0: 18, 1: 20, 2: 16, 3: 19, 4: 16, 5: 15, 6: 22, 7: 21}

{0: 1, 1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1}
{0: 1, 1: 1, 2: 2, 3: 1, 4: 2, 5: 1, 6: 0, 7: 1}
{0: 1, 1: 1, 2: 3, 3: 2, 4: 3, 5: 2, 6: 0, 7: 2}
{0: 2, 1: 1, 2: 4, 3: 2, 4: 4, 5: 3, 6: 1, 7: 2}
{0: 3, 1: 2, 2: 5, 3: 2, 4: 4, 5: 4, 6: 1, 7: 3}
{0: 4, 1: 2, 2: 6, 3: 2, 4: 5, 5: 5, 6: 2, 7: 3}
{0: 5, 1: 3, 2: 6, 3: 2, 4: 6, 5: 6, 6: 3, 7: 3}
{0: 6, 1: 4, 2: 7, 3: 3, 4: 6, 5: 6, 6: 3, 7: 4}
{0: 7, 1: 5, 2: 8, 3: 4, 4: 6, 5: 6, 6: 3, 7: 4}
{0: 8, 1: 5, 2: 9, 3: 5, 4: 7, 5: 6, 6: 3, 7: 4}
{0: 9, 1: 6, 2: 10, 3: 6, 4: 7, 5: 7, 6: 3, 7: 4}
{0: 10, 1: 7, 2: 10, 3: 7, 4: 8, 5: 7, 6: 4, 7: 4}
{0: 11, 1: 8, 2: 10, 3: 8, 4: 9, 5: 8, 6: 4, 7: 4}
