{0: 0, 1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 0, 7: 0}
{0: 1, 1: 0, 2: 2, 3: 1, 4: 1, 5: 2, 6: 0, 7: 0}
{0: 2, 1: 0, 2: 3, 3: 1, 4: 1, 5: 2, 6: 0, 7: 1}
{0: 3, 1: 0, 2: 4, 3: 1, 4: 2, 5: 3, 6: 0, 7: 1}
{0: 4, 1: 1, 2: 4, 3: 1, 4: 2, 5: 3, 6: 0, 7: 1}
{0: 5, 1: 1, 2: 4, 3: 1, 4: 2, 5: 3, 6: 0, 7: 2}
{0: 6, 1: 1, 2: 4, 3: 1, 4: 2, 5: 4, 6: 0, 7: 2}
{0: 7, 1: 1, 2: 5, 3: 1, 4: 2, 5: 4, 6: 0, 7: 2}
{0: 8, 1: 1, 2: 5, 3: 1, 4: 3, 5: 4, 6: 0, 7: 2}
{0: 9, 1: 1, 2: 5, 3: 1, 4: 3, 5: 5, 6: 0, 7: 2}
{0: 10, 1: 1, 2: 5, 3: 1, 4: 4, 5: 5, 6: 0, 7: 2}
{0: 11, 1: 1, 2: 6, 3: 1, 4: 4, 5: 5, 6: 0, 7: 2}
{0: 12, 1: 1, 2: 6, 3: 1, 4: 4, 5: 5, 6: 0, 7: 3}
{0: 13, 1: 1, 2: 6, 3: 1, 4: 5, 5: 5, 6: 0, 7: 3}
{0: 14, 1: 2, 2: 6, 3: 1, 4: 5, 5: 5, 6: 0, 7: 3}
{0: 15, 1: 2, 2: 6, 3: 1, 4: 5, 5: 5, 6: 1, 7: 3}
{0: 16, 1: 2, 2: 6, 3: 1, 4: 5, 5: 6, 6: 1, 7: 3}
{0: 17, 1: 2, 2: 6, 3: 1, 4: 5, 5: 6, 6: 1, 7: 4}
{0: 18, 1: 2, 2: 6, 3: 1, 4: 5, 5: 7, 6: 1, 7: 4}
{0: 19, 1: 2, 2: 6, 3: 2, 4: 5, 5: 7, 6: 1, 7: 4}
{0: 20, 1: 3, 2: 6, 3: 2, 4: 5, 5: 7, 6: 1, 7: 4}
{0: 21, 1: 3, 2: 6, 3: 2, 4: 5, 5: 8, 6: 1, 7: 4}
