{0: 1, 1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 1}
{0: 1, 1: 2, 2: 1, 3: 0, 4: 0, 5: 1, 6: 1, 7: 2}
{0: 1, 1: 3, 2: 2, 3: 1, 4: 0, 5: 1, 6: 2, 7: 3}
{0: 1, 1: 4, 2: 3, 3: 2, 4: 1, 5: 1, 6: 3, 7: 3}
{0: 1, 1: 4, 2: 3, 3: 3, 4: 2, 5: 1, 6: 4, 7: 3}
{0: 1, 1: 5, 2: 4, 3: 3, 4: 2, 5: 2, 6: 4, 7: 3}
{0: 1, 1: 5, 2: 4, 3: 3, 4: 3, 5: 3, 6: 5, 7: 4}
{0: 1, 1: 6, 2: 5, 3: 3, 4: 3, 5: 4, 6: 6, 7: 5}
{0: 1, 1: 6, 2: 5, 3: 3, 4: 4, 5: 5, 6: 6, 7: 6}
{0: 1, 1: 7, 2: 5, 3: 3, 4: 4, 5: 6, 6: 7, 7: 6}
{0: 2, 1: 7, 2: 6, 3: 3, 4: 4, 5: 7, 6: 8, 7: 6}
{0: 3, 1: 8, 2: 6, 3: 4, 4: 4, 5: 7, 6: 8, 7: 6}
{0: 4, 1: 9, 2: 6, 3: 4, 4: 5, 5: 7, 6: 8, 7: 7}
{0: 5, 1: 9, 2: 6, 3: 4, 4: 5, 5: 8, 6: 9, 7: 8}
{0: 6, 1: 10, 2: 6, 3: 4, 4: 6, 5: 8, 6: 10, 7: 8}
{0: 6, 1: 10, 2: 7, 3: 5, 4: 6, 5: 9, 6: 10, 7: 8}
{0: 6, 1: 10, 2: 8, 3: 6, 4: 6, 5: 9, 6: 10, 7: 9}
{0: 7, 1: 10, 2: 9, 3: 6, 4: 6, 5: 10, 6: 11, 7: 9}
{0: 7, 1: 11, 2: 10, 3: 6, 4: 6, 5: 11, 6: 11, 7: 9}
{0: 7, 1: 12, 2: 10, 3: 6, 4: 7, 5: 11, 6: 12, 7: 10}
{0: 7, 1: 13, 2: 10, 3: 6, 4: 8, 5: 11, 6: 12, 7: 11}
{0: 8, 1: 14, 2: 11, 3: 6, 4: 8, 5: 11, 6: 13, 7: 12}
{0: 9, 1: 15, 2: 12, 3: 6, 4: 9, 5: 11, 6: 13, 7: 13}
{0: 10, 1: 15, 2: 12, 3: 6, 4: 10, 5: 12, 6: 14, 7: 13}
{0: 11, 1: 15, 2: 13, 3: 6, 4: 11, 5: 13, 6: 15, 7: 13}
{0: 11, 1: 16, 2: 14, 3: 6, 4: 12, 5: 14, 6: 15, 7: 14}
{0: 12, 1: 17, 2: 15, 3: 6, 4: 13, 5: 14, 6: 16, 7: 14}
{0: 12, 1: 18, 2: 15, 3: 7, 4: 14, 5: 15, 6: 16, 7: 14}
{0: 13, 1: 19, 2: 16, 3: 7, 4: 15, 5: 15, 6: 16, 7: 14}
{0: 14, 1: 19, 2: 17, 3: 7, 4: 15, 5: 15, 6: 17, 7: 15}

{0: 0, 1: 1, 2: 0, 3: 1, 4: 0, 5: 1, 6: 1, 7: 0}
{0: 0, 1: 1, 2: 0, 3: 2, 4: 0, 5: 2, 6: 1, 7: 1}
{0: 0, 1: 2, 2: 1, 3: 3, 4: 0, 5: 3, 6: 1, 7: 1}
{0: 1, 1: 2, 2: 2, 3: 3, 4: 1, 5: 3, 6: 1, 7: 2}
{0: 2, 1: 2, 2: 2, 3: 4, 4: 2, 5: 4, 6: 1, 7: 3}
{0: 3, 1: 2, 2: 2, 3: 4, 4: 2, 5: 5, 6: 2, 7: 4}
{0: 4, 1: 2, 2: 3, 3: 4, 4: 3, 5: 6, 6: 2, 7: 5}
{0: 5, 1: 3, 2: 3, 3: 5, 4: 3, 5: 6, 6: 2, 7: 6}
{0: 5, 1: 4, 2: 4, 3: 5, 4: 4, 5: 7, 6: 2, 7: 6}
{0: 6, 1: 4, 2: 4, 3: 5, 4: 4, 5: 8, 6: 2, 7: 7}
{0: 7, 1: 5, 2: 5, 3: 5, 4: 4, 5: 9, 6: 2, 7: 7}
{0: 7, 1: 5, 2: 6, 3: 6, 4: 4, 5: 10, 6: 2, 7: 8}
{0: 8, 1: 6, 2: 7, 3: 6, 4: 4, 5: 10, 6: 2, 7: 9}
{0: 9, 1: 7, 2: 7, 3: 7, 4: 5, 5: 11, 6: 2, 7: 9}
{0: 10, 1: 7, 2: 7, 3: 7, 4: 6, 5: 12, 6: 2, 7: 10}
