{0: 1, 1: 0, 2: 1, 3: 0, 4: 1, 5: 1, 6: 1, 7: 0}
{0: 2, 1: 0, 2: 2, 3: 0, 4: 1, 5: 2, 6: 2, 7: 1}
{0: 3, 1: 0, 2: 2, 3: 1, 4: 2, 5: 3, 6: 3, 7: 1}
{0: 4, 1: 0, 2: 3, 3: 2, 4: 2, 5: 3, 6: 4, 7: 2}
{0: 4, 1: 0, 2: 4, 3: 3, 4: 3, 5: 3, 6: 5, 7: 3}
{0: 5, 1: 1, 2: 5, 3: 3, 4: 3, 5: 4, 6: 6, 7: 3}
{0: 5, 1: 2, 2: 6, 3: 4, 4: 3, 5: 5, 6: 6, 7: 4}
{0: 6, 1: 2, 2: 7, 3: 5, 4: 3, 5: 5, 6: 7, 7: 5}
{0: 6, 1: 3, 2: 7, 3: 6, 4: 4, 5: 6, 6: 8, 7: 5}
{0: 6, 1: 3, 2: 7, 3: 7, 4: 5, 5: 7, 6: 9, 7: 6}
{0: 6, 1: 4, 2: 8, 3: 7, 4: 5, 5: 8, 6: 10, 7: 7}
{0: 6, 1: 5, 2: 9, 3: 8, 4: 5, 5: 9, 6: 10, 7: 8}
{0: 7, 1: 6, 2: 9, 3: 8, 4: 5, 5: 10, 6: 11, 7: 9}
{0: 8, 1: 6, 2: 10, 3: 9, 4: 6, 5: 10, 6: 12, 7: 9}
{0: 8, 1: 7, 2: 11, 3: 10, 4: 6, 5: 11, 6: 13, 7: 9}
{0: 8, 1: 8, 2: 12, 3: 11, 4: 6, 5: 12, 6: 14, 7: 9}
{0: 8, 1: 9, 2: 12, 3: 11, 4: 7, 5: 13, 6: 14, 7: 10}
{0: 8, 1: 9, 2: 13, 3: 12, 4: 8, 5: 13, 6: 15, 7: 11}
{0: 9, 1: 9, 2: 14, 3: 13, 4: 8, 5: 13, 6: 16, 7: 12}
{0: 10, 1: 9, 2: 14, 3: 14, 4: 9, 5: 13, 6: 17, 7: 12}
{0: 10, 1: 9, 2: 15, 3: 14, 4: 10, 5: 14, 6: 18, 7: 13}
{0: 11, 1: 10, 2: 15, 3: 14, 4: 10, 5: 15, 6: 19, 7: 13}
{0: 12, 1: 10, 2: 16, 3: 15, 4: 10, 5: 16, 6: 20, 7: 13}
{0: 12, 1: 10, 2: 16, 3: 16, 4: 11, 5: 17, 6: 21, 7: 14}
{0: 12, 1: 11, 2: 16, 3: 17, 4: 12, 5: 18, 6: 22, 7: 14}
{0: 13, 1: 12, 2: 17, 3: 17, 4: 12, 5: 19, 6: 23, 7: 14}
{0: 13, 1: 12, 2: 17, 3: 17, 4: 13, 5: 20, 6: 24, 7: 15}
{0: 13, 1: 12, 2: 18, 3: 17, 4: 14, 5: 21, 6: 25, 7: 16}
{0: 13, 1: 13, 2: 19, 3: 17, 4: 14, 5: 22, 6: 26, 7: 17}
{0: 14, 1: 14, 2: 20, 3: 18, 4: 14, 5: 22, 6: 27, 7: 17}

{0: 1, 1: 1, 2: 0, 3: 1, 4: 1, 5: 0, 6: 1, 7: 0}
{0: 1, 1: 2, 2: 1, 3: 2, 4: 1, 5: 1, 6: 2, 7: 0}
{0: 2, 1: 3, 2: 1, 3: 3, 4: 2, 5: 1, 6: 3, 7: 0}
{0: 3, 1: 3, 2: 2, 3: 3, 4: 2, 5: 2, 6: 4, 7: 1}
{0: 3, 1: 4, 2: 2, 3: 3, 4: 3, 5: 3, 6: 5, 7: 2}
{0: 4, 1: 4, 2: 3, 3: 4, 4: 3, 5: 4, 6: 6, 7: 2}
{0: 5, 1: 5, 2: 4, 3: 4, 4: 4, 5: 4, 6: 7, 7: 2}
{0: 5, 1: 6, 2: 4, 3: 5, 4: 5, 5: 4, 6: 8, 7: 3}
{0: 6, 1: 6, 2: 5, 3: 5, 4: 5, 5: 5, 6: 9, 7: 4}
{0: 6, 1: 6, 2: 6, 3: 6, 4: 5, 5: 5, 6: 10, 7: 5}
{0: 6, 1: 7, 2: 7, 3: 6, 4: 5, 5: 6, 6: 11, 7: 6}
{0: 6, 1: 8, 2: 8, 3: 6, 4: 6, 5: 6, 6: 12, 7: 7}
{0: 7, 1: 8, 2: 8, 3: 7, 4: 6, 5: 7, 6: 13, 7: 8}
{0: 8, 1: 8, 2: 9, 3: 7, 4: 6, 5: 8, 6: 14, 7: 9}
{0: 9, 1: 8, 2: 10, 3: 7, 4: 7, 5: 9, 6: 15, 7: 9}
{0: 9, 1: 9, 2: 10, 3: 7, 4: 8, 5: 10, 6: 16, 7: 10}
{0: 10, 1: 9, 2: 10, 3: 8, 4: 8, 5: 11, 6: 17, 7: 11}
{0: 11, 1: 10, 2: 11, 3: 8, 4: 9, 5: 12, 6: 17, 7: 11}
{0: 11, 1: 11, 2: 12, 3: 9, 4: 10, 5: 12, 6: 17, 7: 12}
{0: 12, 1: 12, 2: 13, 3: 9, 4: 10, 5: 13, 6: 17, 7: 13}
{0: 12, 1: 12, 2: 14, 3: 10, 4: 11, 5: 13, 6: 18, 7: 14}
{0: 12, 1: 12, 2: 15, 3: 10, 4: 11, 5: 14, 6: 19, 7: 15}
{0: 13, 1: 13, 2: 15, 3: 10, 4: 11, 5: 15, 6: 20, 7: 16}
{0: 14, 1: 13, 2: 15, 3: 11, 4: 12, 5: 15, 6: 21, 7: 17}
{0: 14, 1: 14, 2: 15, 3: 12, 4: 12, 5: 16, 6: 22, 7: 18}
{0: 14, 1: 14, 2: 16, 3: 12, 4: 12, 5: 17, 6: 23, 7: 19}
{0: 15, 1: 15, 2: 17, 3: 12, 4: 12, 5: 17, 6: 24, 7: 20}
{0: 16, 1: 15, 2: 17, 3: 13, 4: 12, 5: 18, 6: 25, 7: 20}
{0: 16, 1: 16, 2: 17, 3: 14, 4: 12, 5: 19, 6: 26, 7: 21}
{0: 16, 1: 17, 2: 17, 3: 15, 4: 12, 5: 20, 6: 27, 7: 22}

{0: 0, 1: 1, 2: 1, 3: 0, 4: 1, 5: 0, 6: 1, 7: 1}
{0: 1, 1: 1, 2: 2, 3: 0, 4: 1, 5: 1, 6: 2, 7: 2}
{0: 2, 1: 2, 2: 3, 3: 1, 4: 2, 5: 1, 6: 2, 7: 2}
{0: 3, 1: 3, 2: 4, 3: 1, 4: 2, 5: 1, 6: 3, 7: 3}
{0: 4, 1: 4, 2: 5, 3: 1, 4: 2, 5: 2, 6: 3, 7: 4}
{0: 5, 1: 4, 2: 6, 3: 1, 4: 2, 5: 3, 6: 4, 7: 5}
{0: 6, 1: 5, 2: 7, 3: 1, 4: 2, 5: 4, 6: 4, 7: 6}
{0: 7, 1: 6, 2: 7, 3: 1, 4: 3, 5: 4, 6: 5, 7: 7}
{0: 8, 1: 6, 2: 8, 3: 1, 4: 4, 5: 4, 6: 6, 7: 8}
{0: 9, 1: 6, 2: 9, 3: 2, 4: 4, 5: 5, 6: 7, 7: 8}
{0: 10, 1: 6, 2: 10, 3: 3, 4: 4, 5: 6, 6: 7, 7: 9}
{0: 11, 1: 7, 2: 11, 3: 3, 4: 4, 5: 7, 6: 7, 7: 10}
{0: 12, 1: 7, 2: 12, 3: 4, 4: 4, 5: 8, 6: 7, 7: 11}
{0: 13, 1: 7, 2: 13, 3: 5, 4: 4, 5: 8, 6: 8, 7: 12}
{0: 14, 1: 8, 2: 14, 3: 5, 4: 4, 5: 9, 6: 9, 7: 12}
{0: 15, 1: 8, 2: 15, 3: 5, 4: 4, 5: 9, 6: 10, 7: 13}
{0: 15, 1: 8, 2: 16, 3: 5, 4: 5, 5: 10, 6: 11, 7: 14}
{0: 16, 1: 9, 2: 16, 3: 5, 4: 6, 5: 11, 6: 12, 7: 14}
{0: 16, 1: 10, 2: 17, 3: 5, 4: 7, 5: 12, 6: 13, 7: 14}
{0: 17, 1: 10, 2: 18, 3: 6, 4: 7, 5: 13, 6: 14, 7: 14}
{0: 18, 1: 11, 2: 19, 3: 6, 4: 7, 5: 13, 6: 15, 7: 15}
{0: 18, 1: 11, 2: 20, 3: 7, 4: 8, 5: 14, 6: 16, 7: 15}
{0: 18, 1: 12, 2: 21, 3: 7, 4: 8, 5: 15, 6: 17, 7: 16}
{0: 18, 1: 12, 2: 22, 3: 8, 4: 9, 5: 15, 6: 18, 7: 17}
{0: 19, 1: 12, 2: 23, 3: 9, 4: 9, 5: 16, 6: 19, 7: 17}
{0: 20, 1: 12, 2: 24, 3: 10, 4: 9, 5: 17, 6: 19, 7: 18}
{0: 21, 1: 13, 2: 25, 3: 10, 4: 9, 5: 18, 6: 20, 7: 18}
{0: 22, 1: 14, 2: 26, 3: 11, 4: 9, 5: 18, 6: 20, 7: 19}
{0: 22, 1: 14, 2: 27, 3: 12, 4: 10, 5: 18, 6: 21, 7: 20}
{0: 22, 1: 14, 2: 28, 3: 13, 4: 10, 5: 19, 6: 22, 7: 20}

{0: 0, 1: 0, 2: 1, 3: 0, 4: 1, 5: 1, 6: 1, 7: 1}
{0: 1, 1: 1, 2: 2, 3: 1, 4: 1, 5: 1, 6: 2, 7: 1}
